이코복스커피스튜디오 서여의도점, 서울 영등포구 여의도동 13-25
메종오뜨, 서울 양천구 목동 917
커피볶는부엌, 서울 성북구 동소문동5가 120
엘팡, 서울 강남구 역삼동 711-6
행복별사주카페, 서울 서대문구 창천동 5-56
보나구떼, 서울 송파구 방이동 130-4
라희, 서울 동대문구 장안동 444-12
요거트월드 경희궁자이점, 서울 종로구 홍파동 199
아마스빈 잠실새내역점, 서울 송파구 잠실동 209-1
스타벅스 문정법조타운 한양타워점, 서울 송파구 문정동 641-11
카페엘, 서울 마포구 상암동 1622
카페시벳 신림, 서울 관악구 신림동 1636-28
빽다방 중계씨앤미점, 서울 노원구 중계동 509-1
부스틴 구로점, 서울 구로구 구로동 191-7
스타벅스 방이역점, 서울 송파구 오금동 17-8
리지트커피, 서울 용산구 이태원동 44
달, 서울 노원구 중계동 140-1
리얼빈스커피, 서울 노원구 상계동 1117-2
겟틴, 서울 강서구 마곡동 774-2
에이프리카페, 서울 강동구 성내동 42
카페북오브데이즈, 서울 종로구 명륜3가 79-1
디먼트, 서울 강동구 성내동 438-8
볼트커피바, 서울 강남구 논현동 191
홈즈앤루팡 건대점, 서울 광진구 화양동 6-7
메가MGC커피 염창역점, 서울 강서구 염창동 282-22
읍천리382 응암점, 서울 은평구 응암동 104-10
홍철책빵, 서울 용산구 후암동 123-11
코밀커피, 서울 은평구 역촌동 60-8
요거트아이스크림의정석 상일동점, 서울 강동구 상일동 519
무드앤밀, 서울 강북구 수유동 238-9
카페풍경, 서울 구로구 구로동 1128-3
아마도<AMADO>, 서울 강서구 등촌동 560-11
블루보틀 삼성 카페, 서울 강남구 삼성동 159-7
루나더커피, 서울 영등포구 신길동 4902-1
파운드커피 고대하나스퀘어점, 서울 성북구 안암동5가 1-2
카페에피톤, 서울 성동구 행당동 12-9
당퐁당, 서울 성북구 석관동 182-46
다빼드림 답십리점, 서울 동대문구 답십리동 12-3
지유명차 송파점, 서울 송파구 오금동 46-1
스타벅스 강남역신분당역사점, 서울 강남구 역삼동 858
카페 종달, 서울 강서구 염창동 287-1
문팰리스, 서울 동대문구 장안동 183-16
카페유어데이, 서울 영등포구 당산동1가 53-2
대구상회, 서울 중구 오장동 148-50
바비엔, 서울 서초구 잠원동 31-21
페이페이커피, 서울 영등포구 영등포동7가 65-6
하늘바람, 서울 서대문구 홍제동 334-24
마로네, 서울 서초구 서초동 1713-1
한담, 서울 강서구 마곡동 811-1
니블스, 서울 강남구 신사동 554-10
하이롤러 천호점, 서울 강동구 천호동 454-13
아마폴라델리, 서울 강남구 역삼동 700-6
베시더스콘, 서울 강남구 신사동 646-7
태니, 서울 용산구 효창동 5-85
카페베네 청담영동점, 서울 강남구 청담동 125-12
메가MGC커피 동대문동평화점, 서울 중구 신당동 217-94
스테레오커피, 서울 광진구 구의동 252-100
스타벅스 마포아크로점, 서울 마포구 도화동 563
옹근달 현대백화점무역센터점, 서울 강남구 삼성동 159-7
카페나루, 서울 광진구 광장동 258-22
카페 IGSS, 서울 은평구 구산동 27-41
콜렉티보 그랜드센트럴점, 서울 중구 남대문로5가 831
커피온리 문정법조타운점, 서울 송파구 문정동 218
좋은소리카페, 서울 성북구 길음동 1061
빽다방 신당역점, 서울 중구 황학동 737
일레븐커피&츄러스, 서울 송파구 장지동 837
시니다방, 서울 노원구 상계동 72-34
스파츠, 서울 성북구 동선동2가 142-1
읍천리382 석계역점, 서울 노원구 월계동 55
낙타커피로스터스, 서울 성동구 성수동1가 13-304
테이큰커피 신사점, 서울 서초구 잠원동 11-6
떼루와, 서울 관악구 남현동 1061-18
카페라이킷, 서울 마포구 망원동 472-18
구들리, 서울 강북구 수유동 597-9
나드141-1, 서울 은평구 불광동 141-1
텐트커피, 서울 마포구 노고산동 109-4
비나다 라운지앤카페, 서울 서초구 양재동 328-9
인사이드커피 종로르메이에르점, 서울 종로구 종로1가 24
카프, 서울 서대문구 충정로2가 157
로스터리타쎄, 서울 송파구 방이동 164-18
애틱인서울하우스, 서울 양천구 목동 405-334
데미타스 도화점, 서울 마포구 도화동 538
777.7스페이스, 서울 서초구 방배동 777-7
더벤티 까치산역점, 서울 강서구 화곡동 341-65
프로메싸, 서울 동대문구 이문동 264-277
문스타, 서울 서초구 서초동 1638-8
티클라우드 바이마키아티 역삼점, 서울 강남구 역삼동 789-13
그린 플라워 페스츄리, 서울 용산구 이태원동 34-14
투썸플레이스 홍대입구역점, 서울 마포구 동교동 158-1
룸메이트, 서울 송파구 잠실동 180-4
카페로드, 서울 양천구 신정동 916-9
봉명동내커피 서울역촌점, 서울 은평구 대조동 179-49
커피빈 신천역점, 서울 송파구 잠실동 181-3
로맨틱홀리데이, 서울 노원구 상계동 409-9
빵데까사, 서울 송파구 송파동 17-17
WP, 서울 서대문구 연희동 188-85
릭, 서울 강서구 내발산동 714-5
커피조에, 서울 서대문구 대현동 60-61
THEBAUM, 서울 종로구 체부동 44
메가MGC커피 마들역점, 서울 노원구 상계동 651
파벤, 서울 성동구 성수동2가 309-141
해쉬커피 영등포이노플렉스지식산업센터점, 서울 영등포구 양평동3가 13
이디야커피 내방역점, 서울 서초구 방배동 898-1
커피나인 구로디지털단지점, 서울 구로구 구로동 197-28
꽃샘다방, 서울 용산구 원효로1가 46-3
카페루미 종로점, 서울 종로구 관철동 19-7
cafe beato, 서울 송파구 문정동 6-7
왕커피숍, 서울 중랑구 망우동 491-34
카페더빛, 서울 구로구 천왕동 281-1
돌담마루 커피바, 서울 마포구 망원동 414-62
릴레이션커피, 서울 성동구 성수동1가 13-413
쿠키프렌즈카페, 서울 강남구 역삼동 617-6
봄날, 서울 강서구 등촌동 849
커피엑시스, 서울 중구 신당동 355-19
차이관, 서울 서대문구 남가좌동 340-25
티토커피, 서울 영등포구 여의도동 13-3
녹사다리, 서울 용산구 이태원동 548
카페총각, 서울 중구 흥인동 13-1
덥커피, 서울 마포구 중동 39-9
벤티프레소 숭례문점, 서울 중구 남대문로5가 6-1
오핀 로스터리, 서울 은평구 진관동 327-2
이디야커피 용산원효점, 서울 용산구 원효로4가 118-1
카페포레, 서울 강남구 역삼동 678-6
블루샥 서초남부점, 서울 서초구 서초동 1589-2
매머드익스프레스 샛강역점, 서울 영등포구 여의도동 45
301h, 서울 관악구 신림동 550-13
나인보울, 서울 노원구 월계동 18
탐앤탐스 방이점, 서울 송파구 방이동 34-2
세네동커피, 서울 종로구 옥인동 153-1
뉴욕54, 서울 도봉구 창동 14-4
홍턴살롱, 서울 마포구 동교동 200-1
보사노바 커피로스터스 잠실점, 서울 송파구 방이동 50
이디야커피 가든파이브점, 서울 송파구 문정동 628
개귀여워, 서울 동대문구 회기동 16-56
벙커, 서울 강서구 화곡동 1068-31
카페필로, 서울 중구 충무로4가 25
매드티파티, 서울 금천구 독산동 1005-1
명카페, 서울 서대문구 연희동 76
탑티어커피 노원역점, 서울 노원구 상계동 734-3
써클커피, 서울 송파구 오금동 48-10
팔로미노, 서울 서초구 잠원동 15-4
심사주타로 최봉수철학원, 서울 종로구 낙원동 88-1
블랑, 서울 서초구 잠원동 12-2
요거트아이스크림의정석 신당점, 서울 중구 신당동 304-78
플랫도어, 서울 송파구 장지동 884
라르티스타, 서울 종로구 묘동 128-1
R&커피, 서울 마포구 서교동 386-13
델트렌2, 서울 마포구 동교동 192-5
라몬, 서울 마포구 상암동 1648
커피데스크, 서울 송파구 석촌동 24-14
알리바바 커피, 서울 영등포구 대림동 1050-13
카페비유, 서울 양천구 신정동 144-5
테라로사 국립현대미술관서울점, 서울 종로구 소격동 165
브룩스라운지, 서울 강남구 신사동 524-36
레오쥬스 당산점, 서울 영등포구 당산동6가 235-1
퓨엘커피, 서울 성동구 성수동2가 280
완자네콩가게, 서울 강동구 길동 364-33
쥬씨 서일대점, 서울 중랑구 면목동 5-35
커피에반하다 영중신화점, 서울 영등포구 영등포동7가 70-11
카페골든컵, 서울 중구 인현동1가 51
요거트월드 대치점, 서울 강남구 대치동 923-23
아우어베이커리 신촌숲길점, 서울 마포구 노고산동 56-74
대충유원지 인왕산, 서울 종로구 누하동 22
드렁큰퍼피, 서울 중랑구 면목동 1502-2
커피박스, 서울 서초구 방배동 923-6
매머드익스프레스 동국대점, 서울 중구 필동3가 19-5
에이미스커피 논현점, 서울 강남구 논현동 8
빽다방 석계역문화공원점, 서울 노원구 월계동 47-3
카페이라, 서울 마포구 망원동 423-25
화이트브릭야드, 서울 중구 신당동 50-9
카페화인 (휴업중), 서울 중구 남대문로3가 91
운수좋은날 사주와타로, 서울 종로구 인사동 36-1
메가후르츠 미아점, 서울 강북구 미아동 1371
지유명차 서초점, 서울 서초구 서초동 1487-23
카페피드백, 서울 송파구 석촌동 173-8
롯데칠성음료커피 미아점, 서울 강북구 미아동 70-6
카페스윗 동대문점, 서울 중구 쌍림동 22-1
카페바이이브릭 강남본점, 서울 강남구 역삼동 833-3
리플렉트커피로스터스 로스팅 랩, 서울 서초구 서초동 1359-46
사주솟대신점, 서울 강남구 신사동 660-8
데이롱카페 신당누리점, 서울 중구 신당동 62-63
휘드카페 묵동점, 서울 중랑구 묵동 162-1
그래coffee, 서울 강남구 삼성동 91-4
스타벅스 대치재경빌딩점, 서울 강남구 대치동 599
커피브루어, 서울 강남구 대치동 647
카페디아떼 강일점, 서울 강동구 강일동 676
스타벅스 신세계푸드마켓도곡점, 서울 강남구 도곡동 467-17
고망고 홍대입구역점, 서울 마포구 서교동 330-21
센터커피 서울역점, 서울 중구 봉래동2가 122-11
매머드익스프레스 강남효성해링턴점, 서울 서초구 서초동 1337-6
컴포즈커피 장안래미안점, 서울 동대문구 장안동 331-11
발로렘커피, 서울 종로구 도렴동 60
커피빈 논현역8번출구점, 서울 서초구 잠원동 37-1
홍콩빵태국커피, 서울 종로구 필운동 155-2
팡팡포레, 서울 강서구 등촌동 681-3
카페문나잇, 서울 강북구 미아동 121-47
야트막, 서울 서대문구 옥천동 45-7
숨비로와, 서울 은평구 응암동 109-14
쿠키날, 서울 은평구 갈현동 402-42
커핀로프, 서울 서대문구 충정로2가 190-3
메가MGC커피 광화문역점, 서울 종로구 당주동 41
카페 드 래빗, 서울 마포구 연남동 259
커피더빅, 서울 용산구 한남동 639-8
전광수커피하우스 정동점, 서울 중구 정동 11-2
행복을마시는집, 서울 종로구 창신동 436-79
커피나인 서울역아스테리움점 (휴업중), 서울 용산구 동자동 45
서울노마드, 서울 성북구 동소문동4가 124-1
까치커피, 서울 동대문구 제기동 1139
디저트39 강동역점, 서울 강동구 성내동 194
스타7090라이브, 서울 강서구 마곡동 772-8
메종246cafe, 서울 강남구 논현동 246
비밀의숲 홍대점, 서울 마포구 서교동 366-8
카페누빗, 서울 관악구 봉천동 41-402
에이엠커피, 서울 마포구 망원동 453-2
복자카페, 서울 금천구 가산동 60-24
그라시아, 서울 강남구 청담동 133-6
에이셉커피, 서울 용산구 한강로2가 419
카페HBD 머글즈케이크, 서울 강서구 마곡동 1378
하이베를리너 가산점, 서울 금천구 가산동 143-15
크리스마스커피솝, 서울 종로구 효제동 329-2
하이라인, 서울 성동구 성수동1가 272
제니스키친캐주얼, 서울 성북구 석관동 340-328
카페스페이스, 서울 금천구 가산동 691
에스프레카페, 서울 강남구 대치동 507-2
바나프레소 선릉위워크점, 서울 강남구 대치동 889-41
컴포즈커피 안암성북천점, 서울 성북구 안암동1가 1-1
빽다방 아차산점, 서울 광진구 중곡동 114-32
아이러브커피, 서울 동작구 상도동 531
에피소드, 서울 성동구 성수동1가 72-114
매머드익스프레스 송파헬리오시티점, 서울 송파구 가락동 913
벌툰 몽유도원 석계역점, 서울 성북구 석관동 133-45
태키커피(tackycoffee), 서울 강남구 역삼동 789-19
나나케이크, 서울 광진구 화양동 33-3
피오나가 가져다준행운, 서울 강서구 마곡동 727-1087
쥴리스커피, 서울 강남구 논현동 139-9
파스쿠찌 종로본점, 서울 종로구 종로2가 75-2
카페the곳, 서울 노원구 월계동 271
로즈드메, 서울 서초구 방배동 455-15
원두볶는사람들, 서울 광진구 자양동 635-33
카페티크니스10, 서울 송파구 송파동 32-3
쉼표, 서울 양천구 신정동 943-2
쏘캘쉐이크, 서울 서초구 반포동 18-3
공미학 마포홍대점, 서울 마포구 동교동 165-5
노티드 여의도IFC, 서울 영등포구 여의도동 23
마이림, 서울 도봉구 쌍문동 449-7
면목커피, 서울 중랑구 면목동 345-2
드럭스토어커피, 서울 강남구 역삼동 650-18
에일린, 서울 구로구 신도림동 432-1
이디야커피 퇴계로2길점, 서울 중구 남창동 168-21
금정헌, 서울 종로구 가회동 31-22
커피향기, 서울 강서구 화곡동 362-96
로티바, 서울 강남구 역삼동 830-55
룻스가든, 서울 강동구 상일동 341-12
106길 15, 서울 강남구 역삼동 811-14
벨루스, 서울 용산구 한남동 683-1
스타벅스 서초역이화빌딩점, 서울 서초구 서초동 1538-10
스타벅스 장위뉴타운점, 서울 성북구 장위동 143-38
홍밀밀, 서울 중구 명동2가 1-1
스타벅스 양재역점, 서울 서초구 양재동 14-4
밀라커피, 서울 종로구 창신동 702
카페니니, 서울 노원구 월계동 383
장미커피숍, 서울 강북구 수유동 334-34
카페W, 서울 마포구 성산동 390-1
카페지오 성신여대점, 서울 성북구 동선동1가 85-58
쥐구멍, 서울 구로구 구로동 536-66
와플스토리, 서울 영등포구 신길동 296
씨엠지파크, 서울 은평구 진관동 67-31
